probability,prediction,label
0.13204897940158844,0,0
0.05515306442975998,0,0
0.5491992831230164,1,0
0.17651690542697906,0,0
0.5688995718955994,1,0
0.29007914662361145,0,0
0.5657197833061218,1,0
0.515164315700531,1,0
0.7608245015144348,1,0
0.15399029850959778,0,0
0.5698615312576294,1,0
0.6299356818199158,1,0
0.022774023935198784,0,0
0.15399029850959778,0,0
0.6334661245346069,1,0
0.12232828140258789,0,0
0.29007914662361145,0,0
0.20726662874221802,0,0
0.15399029850959778,0,0
0.08634088933467865,0,0
0.4788132905960083,0,0
0.1212112233042717,0,0
0.1312163770198822,0,0
0.2885814309120178,0,0
0.29007914662361145,0,0
0.5542212724685669,1,0
0.05457380786538124,0,0
0.15399029850959778,0,0
0.12232828140258789,0,0
0.7138921618461609,1,0
0.15399029850959778,0,0
0.1505010426044464,0,0
0.12232828140258789,0,0
0.22885583341121674,0,0
0.1308867633342743,0,0
0.5196691751480103,1,0
0.19419017434120178,0,0
0.5239408016204834,1,1
0.20070211589336395,0,0
0.5607354044914246,1,0
0.05515306442975998,0,0
0.6337742209434509,1,0
0.3152470588684082,0,0
0.6320183277130127,1,1
0.4788132905960083,0,0
0.10985424369573593,0,0
0.4788132905960083,0,0
0.02905469760298729,0,0
0.033639322966337204,0,0
0.15399029850959778,0,0
0.05553387105464935,0,0
0.3295687735080719,0,0
0.7138921618461609,1,0
0.20726662874221802,0,0
0.05553387105464935,0,0
0.1721504032611847,0,0
0.20726662874221802,0,0
0.7138921618461609,1,0
0.4788132905960083,0,0
0.11870791763067245,0,0
0.21822507679462433,0,0
0.20726662874221802,0,0
0.1916143298149109,0,0
0.4788132905960083,0,0
0.02905469760298729,0,0
0.10060200095176697,0,0
0.4788132905960083,0,0
0.11557073891162872,0,0
0.2518613338470459,0,0
0.5438895225524902,1,0
0.2079504430294037,0,0
0.12232828140258789,0,0
0.4788132905960083,0,0
0.16335123777389526,0,0
0.15399029850959778,0,0
0.17651690542697906,0,0
0.08634088933467865,0,0
0.05092865228652954,0,0
0.4855480492115021,0,0
0.17651690542697906,0,0
0.5438895225524902,1,0
0.07439030706882477,0,0
0.7477828860282898,1,0
0.13204897940158844,0,0
0.7966594099998474,1,0
0.15399029850959778,0,0
0.4788132905960083,0,0
0.7138921618461609,1,0
0.12689277529716492,0,0
0.1536211222410202,0,0
0.22885583341121674,0,0
0.37484419345855713,0,0
0.09158805757761002,0,0
0.7581083178520203,1,0
0.022774023935198784,0,0
0.15399029850959778,0,0
0.0788934975862503,0,0
0.5196691751480103,1,0
0.05515306442975998,0,0
0.24179674685001373,0,0
0.3628391921520233,0,0
0.04318148270249367,0,0
0.29449519515037537,0,0
0.4788132905960083,0,0
0.17651690542697906,0,0
0.5031239986419678,1,0
0.13327144086360931,0,0
0.2456904798746109,0,0
0.29007914662361145,0,0
0.7436947822570801,1,0
0.4788132905960083,0,0
0.22885583341121674,0,0
0.3726002275943756,0,0
0.28641384840011597,0,0
0.4788132905960083,0,0
0.569918692111969,1,0
0.12232828140258789,0,0
0.15399029850959778,0,0
0.5196691751480103,1,0
0.4788132905960083,0,0
0.4788132905960083,0,1
0.29007914662361145,0,0
0.20726662874221802,0,0
0.3420276343822479,0,0
0.20726662874221802,0,0
0.014433084987103939,0,0
0.15399029850959778,0,0
0.2443430870771408,0,0
0.2596893310546875,0,0
0.5196691751480103,1,0
0.10060200095176697,0,0
0.05515306442975998,0,0
0.3065458834171295,0,0
0.7699909806251526,1,0
0.13204897940158844,0,0
0.15399029850959778,0,0
0.33202168345451355,0,0
0.5925836563110352,1,0
0.34605783224105835,0,0
0.18516981601715088,0,0
0.15399029850959778,0,0
0.022774023935198784,0,0
0.12232828140258789,0,0
0.029260888695716858,0,0
0.15399029850959778,0,0
0.20726662874221802,0,0
0.3236164450645447,0,0
0.019171273335814476,0,0
0.1586468517780304,0,0
0.08197445422410965,0,0
0.028945239260792732,0,0
0.15399029850959778,0,0
0.4788132905960083,0,0
0.8295074105262756,1,0
0.5196691751480103,1,0
0.6299356818199158,1,0
0.12689277529716492,0,0
0.15399029850959778,0,0
0.20049980282783508,0,0
0.5196691751480103,1,0
0.22885583341121674,0,0
0.07166963070631027,0,0
0.15399029850959778,0,0
0.6337742209434509,1,1
0.12232828140258789,0,0
0.15399029850959778,0,0
0.12232828140258789,0,0
0.45798665285110474,0,0
0.22885583341121674,0,0
0.6716633439064026,1,0
0.029260888695716858,0,0
0.17651690542697906,0,0
0.41296517848968506,0,0
0.7477828860282898,1,0
0.13204897940158844,0,0
0.5866165161132812,1,0
0.030800314620137215,0,0
0.5862464904785156,1,0
0.3438628017902374,0,0
0.15399029850959778,0,0
0.10263922065496445,0,0
0.7823869585990906,1,0
0.17651690542697906,0,0
0.019171273335814476,0,0
0.09054633975028992,0,0
0.07489341497421265,0,0
0.19627438485622406,0,0
0.4788132905960083,0,0
0.15399029850959778,0,0
0.07489341497421265,0,0
0.6337742209434509,1,1
0.15399029850959778,0,0
0.04308456555008888,0,0
0.1521325409412384,0,0
0.03957013785839081,0,0
0.21822507679462433,0,0
0.05495084449648857,0,0
0.22885583341121674,0,0
0.17651690542697906,0,0
0.4788132905960083,0,1
